Effective date ,S&P 500 Energy ,S&P 500 Health Care ,S&P 500 Information Technology ,S&P 500 Communication Services ,S&P 500 Consumer Discretionary ,S&P 500 Consumer Staples ,S&P 500 Financials ,S&P 500 Industrials ,S&P 500 Materials ,S&P 500 Real Estate ,S&P 500 Utilities 
12/07/2011,-0.3097583,0.0514479,-0.9256373,-0.1505684,-0.4182664,-0.347361,-0.2818712,-1.0260409,-0.3371517,0.3665689,0.4600956
13/07/2011,0.6843041,0.2791449,0.2638267,-0.1206364,0.5140582,0.0308471,0.1636499,0.3718175,0.8273894,-0.9788167,-0.2348658
14/07/2011,-0.4959149,-0.1123239,-0.9487254,-0.7246924,-0.7609069,-0.453312,-0.7723537,-0.9700509,-0.9054895,-0.958985,-0.4472956
15/07/2011,2.3377555,-0.4791356,1.5524847,-0.3878032,0.0785595,0.244726,-0.2444866,0.0538913,0.9586359,1.1246835,0.1537097
18/07/2011,-0.4449583,-0.7933974,-0.3239896,-0.8015267,-1.064431,-0.6304079,-1.3804832,-1.1184336,-1.1758051,-0.8543861,-0.9444543
19/07/2011,1.6839697,0.9111617,2.6966509,0.7926125,1.9803866,1.4740639,1.3592331,1.2752732,1.3983155,1.8052151,0.8163995
20/07/2011,-0.3253327,-0.3533222,-0.4290437,-0.0381738,-0.5788442,-0.3892124,1.0758069,0.2436169,-0.0241935,0.4962055,0.5792647
21/07/2011,1.9705203,1.4946321,0.5297857,0.4506225,1.1675588,0.6768606,2.4752475,1.4707739,1.1615713,1.0746442,1.5397273
22/07/2011,0.4682126,-0.1431379,1.1664129,-0.4790146,0.3991337,-0.1589096,-0.2657005,-0.970451,-0.4345746,0.466954,-0.5614076
25/07/2011,-0.4778932,-1.0714286,-0.145857,-1.3599205,-0.6132701,-0.9978268,-0.8428191,-0.1413405,-0.2482681,-1.2370397,0.2677376
26/07/2011,-0.5074327,-0.8006091,0.4173429,0.1549067,-0.1891473,-0.2597001,-0.1709736,-1.9438241,-1.0437156,0.1375615,-0.365705
27/07/2011,-1.826148,-1.7255465,-2.9462018,-0.3944011,-1.7676846,-1.0415052,-2.3292229,-2.6976744,-2.3041662,-2.7113007,-0.3495689
28/07/2011,-0.7008124,-0.1435913,0.1213304,-2.2437888,-0.512334,0.0219264,0.0450902,-0.8703105,-0.2117676,-0.0891795,-0.7132834
29/07/2011,-1.1551966,-0.423825,-0.8316502,-0.4209356,-0.4355013,-0.6200676,-0.2553959,-0.4822082,-1.1359854,0.17108,-0.9833942
01/08/2011,-0.0852545,-1.7126498,-0.1581406,0.9172117,-0.5715015,-0.340329,-0.3313586,-0.5146199,-0.3451324,-2.0049009,0.2973536
02/08/2011,-2.6753653,-2.3044207,-2.2558737,-1.8730736,-3.6638623,-1.2869158,-2.7705017,-3.4395889,-2.9311146,-2.8870198,-1.6068782
03/08/2011,-0.5643939,0.1134535,1.2374475,0.9826031,0.6633112,0.5541497,0.5232618,0.7687759,0.4307532,-0.4447566,-0.1205255
04/08/2011,-6.7891256,-3.826692,-4.4697209,-3.2780348,-4.8443709,-3.0517329,-5.1796114,-5.3645402,-6.6372065,-4.9533663,-3.2339809
05/08/2011,-0.1241526,0.7837334,-0.5813658,0.3875649,0.1357135,1.6264704,-1.7338841,0.0693077,-0.2273782,-1.9295786,0.8729268
